Atom: 39
Frequency   X       Y       Z       IR      Raman
598.0550  -0.00  0.00  0.00  26.0802  26.5993
601.8617  0.00  0.00  0.00  22.0509  4.1799
614.4073  0.00  0.00  0.00  163.6214  10.3681
627.3740  -0.00  -0.00  0.00  16.2401  2.0563
630.6113  -0.00  -0.00  0.00  37.2048  2.6509
634.4985  0.00  -0.00  -0.00  36.827  5.3671
639.2921  0.00  0.00  -0.00  55.8587  16.0208
640.7546  -0.00  -0.00  0.00  195.5275  43.009
648.0093  -0.00  -0.00  -0.00  0.1324  1.9758
650.4010  0.00  0.00  -0.00  1.2816  13.5326
652.1230  0.01  0.02  0.00  5.084  17.9992
655.1082  0.00  0.01  0.00  46.2617  8.0849
656.3530  -0.00  -0.00  0.00  1.6773  1.1416
658.7859  0.00  -0.01  -0.01  50.9564  14.9004
663.6496  -0.01  -0.01  0.00  85.1084  102.6279
666.6867  0.01  0.01  -0.00  3.4108  5.5854
666.8707  0.01  0.01  -0.00  6.6708  25.1802
667.9243  -0.01  -0.02  -0.00  71.3168  68.1645
677.8916  -0.01  -0.03  -0.01  54.1723  25.3337
697.7713  -0.00  0.00  0.00  5.744  1.3618
700.4802  0.00  -0.00  -0.00  17.9971  1.4829
737.5803  0.00  -0.00  -0.00  16.6709  1.4235
748.9881  0.01  -0.00  -0.01  229.8335  4.5237
749.2874  0.01  -0.00  -0.01  150.8095  15.6344

Atom: 47
Frequency   X       Y       Z       IR      Raman
201.1768  0.02  -0.00  0.01  0.3829  0.2131
201.8741  -0.11  -0.13  -0.11  3.8422  3.6015
202.7568  0.05  -0.03  0.00  1.237  0.4066
205.7746  0.12  -0.01  0.00  6.1216  2.4452
211.0346  -0.03  0.02  0.01  3.4465  0.8702
211.5026  -0.01  0.00  -0.03  11.9256  0.7817
215.6071  0.13  -0.08  -0.08  20.7518  1.4395
218.1710  -0.00  0.04  -0.05  2.2829  4.1148
223.6714  0.02  -0.06  0.02  3.9335  2.8266
229.2627  -0.02  0.03  0.07  4.4178  0.8366
233.3410  -0.04  -0.06  -0.05  12.182  0.8355
236.3896  -0.01  0.06  0.09  8.6737  1.4375
240.2589  0.10  -0.15  -0.12  32.1894  1.884
244.9556  -0.02  0.06  -0.01  7.1815  3.4388
248.9710  0.03  -0.00  0.01  25.5796  2.0637
256.9386  0.03  -0.04  0.07  3.3718  1.9383
258.2236  0.00  0.08  0.01  17.2308  1.1313
265.9603  0.01  0.01  -0.00  5.407  1.1802
270.8140  0.07  0.09  -0.00  13.0368  7.8437
273.9112  -0.01  -0.03  -0.02  42.9348  1.8758
274.8806  -0.02  -0.03  0.01  5.8423  5.3823
283.9967  -0.02  -0.01  0.03  5.1818  0.8246
287.2643  0.04  0.01  -0.00  23.4578  1.4317
295.7928  -0.01  0.04  -0.03  24.0317  1.9693
300.7444  0.01  -0.01  -0.01  12.3313  1.3655
